[2026-06-09T09:59:21.451Z] GET https://klaravex.com/wp-admin/profile.php → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/media-upload.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-admin/js/svg-painter.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/heartbeat.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/wp-auth-check.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react-dom.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react-jsx-runtime.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/dom.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/escape-html.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/element.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/is-shallow-equal.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/keycodes.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/priority-queue.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/undo-manager.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/compose.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/html-entities.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/primitives.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/private-apis.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/redux-routine.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/data.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/rich-text.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/warning.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/components.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/keyboard-shortcuts.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/commands.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/api-fetch.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/blob.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/block-serialization-default-parser.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.487Z] GET https://klaravex.com/wp-includes/js/dist/autop.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/shortcode.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/blocks.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/notices.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/preferences-persistence.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/preferences.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/style-engine.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/theme.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/token-list.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/upload-media.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/block-editor.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/core-data.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/router.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/core-commands.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/cookie-law-info/lite/admin/modules/dashboard-widget/assets/js/chart.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/dist/vendor/lodash.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/seo-by-rank-math/assets/admin/js/components.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/seo-by-rank-math/assets/admin/js/dashboard.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/litespeed-cache/assets/js/litespeed-cache-admin.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/js/vendor/chart.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/js/vendor/chartjs-adapter-moment.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/js/smtp-dashboard-widget.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/jquery/ui/accordion.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-content/plugins/seo-by-rank-math/assets/admin/js/wplink.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/jquery/ui/menu.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.488Z] GET https://klaravex.com/wp-includes/js/jquery/ui/autocomplete.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.621Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/fonts/stylesheet.css → 200 (38ms, 355B)
[2026-06-09T09:59:40.694Z] GET https://klaravex.com/wp-content/plugins/code-snippets/dist/77309b6c62059751c2c4.svg → pending (?ms, ?B)
[2026-06-09T09:59:40.694Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/fonts/CoFoSans-Regular.woff2 → pending (?ms, ?B)
[2026-06-09T09:59:40.708Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/fonts/CoFoSans-Bold.woff2 → pending (?ms, ?B)
[2026-06-09T09:59:40.715Z] GET https://secure.gravatar.com/avatar/2e4335b71b495c098ec380e606ae39568aac8e9f412fb34f0815bca579644041?s=26&d=mm&r=g → 200 (137ms, 1317B)
[2026-06-09T09:59:40.760Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/images/wp-spinner.gif → pending (?ms, ?B)
[2026-06-09T09:59:40.761Z] GET https://secure.gravatar.com/avatar/8e1606e6fba450a9362af43874c1b2dfad34c782e33d0a51e1b46c18a2a567dd?s=50&d=mm&r=g → 200 (92ms, 3289B)
[2026-06-09T09:59:42.822Z] POST https://klaravex.com/wp-admin/admin-ajax.php → pending (?ms, ?B)
[2026-06-09T09:59:42.822Z] GET https://klaravex.com/wp-includes/js/thickbox/loadingAnimation.gif → 200 (38ms, 15315B)
[2026-06-09T09:59:42.827Z] GET https://klaravex.com/wp-json/rankmath/v1/dashboardWidget → 200 (527ms, 2708B)
[2026-06-09T09:59:42.846Z] GET https://klaravex.com/wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard → pending (?ms, ?B)
[2026-06-09T09:59:45.625Z] GET https://klaravex.com/wp-admin/authorize-application.php?app_name=kb-publish&success_url=https://klaravex.com → 200 (419ms, 22294B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-admin/load-styles.php?c=1&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5Bchunk_1%5D=,site-icon,l10n,wp-base-styles,buttons,wp-auth-check,wp-components,wp-commands&ver=7.0 → 200 (39ms, 121499B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/insert-headers-and-footers/build/admin-bar.css → 200 (?ms, -352B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/accessibility-widget/lite/admin/css/admin-notice.css → 200 (?ms, -350B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/wp-2fa/dist/css/admin-style.css → 200 (?ms, -354B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/css/admin-bar.min.css → 200 (?ms, -352B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/litespeed-cache/assets/css/litespeed.css → 200 (?ms, -356B)
[2026-06-09T09:59:46.050Z] GET https://klaravex.com/wp-content/plugins/litespeed-cache/assets/css/litespeed-dark-mode.css → 200 (1ms, -354B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-content/plugins/code-snippets/dist/menu.css → 200 (?ms, -352B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/limit-login-attempts.css → 200 (?ms, -356B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=7.0 → 200 (?ms, -345B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=hoverIntent,wp-dom-ready,wp-hooks&ver=7.0 → 200 (?ms, -344B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-includes/js/dist/i18n.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.051Z] GET https://klaravex.com/wp-includes/js/dist/a11y.min.js → 200 (1ms, -366B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-admin/js/common.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-content/plugins/insert-headers-and-footers/build/admin-bar.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-includes/js/hoverintent-js.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-includes/js/admin-bar.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-includes/js/api-request.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-admin/js/auth-app.min.js → 200 (31ms, 930B)
[2026-06-09T09:59:46.052Z] GET https://klaravex.com/wp-admin/js/svg-painter.js → 200 (?ms, -367B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/heartbeat.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/wp-auth-check.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react-dom.min.js → 200 (?ms, -370B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/dist/vendor/react-jsx-runtime.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/dist/deprecated.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.053Z] GET https://klaravex.com/wp-includes/js/dist/dom.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/escape-html.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/element.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/is-shallow-equal.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/keycodes.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/priority-queue.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/undo-manager.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.054Z] GET https://klaravex.com/wp-includes/js/dist/compose.min.js → 200 (?ms, -369B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/vendor/moment.min.js → 200 (?ms, -369B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/date.min.js → 200 (?ms, -370B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/html-entities.min.js → 200 (?ms, -364B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/primitives.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/private-apis.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/redux-routine.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.055Z] GET https://klaravex.com/wp-includes/js/dist/data.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:46.056Z] GET https://klaravex.com/wp-includes/js/dist/rich-text.min.js → 200 (?ms, -369B)
[2026-06-09T09:59:46.056Z] GET https://klaravex.com/wp-includes/js/dist/warning.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:46.056Z] GET https://klaravex.com/wp-includes/js/dist/components.min.js → 200 (?ms, -371B)
[2026-06-09T09:59:46.056Z] GET https://klaravex.com/wp-includes/js/dist/keyboard-shortcuts.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:46.056Z] GET https://klaravex.com/wp-includes/js/dist/commands.min.js → 200 (?ms, -369B)
